image_id,gt_count,pred_cnt,abs_error,crop_triggered
1,8,8,0,0
2,11,11,0,0
3,10,11,1,0
4,113,108,5,0
5,9,8,1,0
162,28,28,0,0
163,10,10,0,0
164,21,20,1,0
165,26,28,2,0
166,26,28,2,0
167,13,13,0,0
168,14,14,0,0
169,32,30,2,0
170,41,45,4,0
171,124,119,5,0
172,64,61,3,0
173,30,30,0,0
174,12,13,1,0
175,33,33,0,0
176,16,19,3,0
177,33,33,0,0
178,28,31,3,0
179,20,24,4,0
180,51,52,1,0
181,11,11,0,0
182,30,30,0,0
183,21,21,0,0
184,27,27,0,0
185,113,108,5,0
186,65,72,7,0
187,55,52,3,0
188,53,57,4,0
189,23,24,1,0
190,53,60,7,0
191,25,29,4,0
192,14,14,0,0
193,12,12,0,0
194,16,17,1,0
195,39,39,0,0
196,27,25,2,0
197,25,25,0,0
198,11,10,1,0
199,33,35,2,0
200,18,17,1,0
201,12,12,0,0
202,35,36,1,0
203,19,19,0,0
204,25,25,0,0
205,33,31,2,0
206,11,9,2,0
207,32,32,0,0
208,35,39,4,0
209,12,12,0,0
210,16,16,0,0
211,13,15,2,0
212,18,18,0,0
213,14,14,0,0
214,13,13,0,0
215,63,63,0,0
216,16,23,7,0
217,43,40,3,0
218,63,70,7,0
219,11,11,0,0
220,41,41,0,0
221,27,30,3,0
222,39,37,2,0
223,17,17,0,0
224,41,41,0,0
520,12,12,0,0
521,24,24,0,0
522,14,14,0,0
524,86,96,10,0
525,47,50,3,0
526,548,598,50,0
527,63,65,2,0
528,109,101,8,0
529,11,11,0,0
530,17,17,0,0
531,80,93,13,0
532,11,11,0,0
533,52,49,3,0
534,154,168,14,0
535,60,67,7,0
536,65,62,3,0
537,44,48,4,0
538,59,64,5,0
539,46,46,0,0
540,90,76,14,0
541,15,15,0,0
542,132,128,4,0
543,16,16,0,0
544,27,32,5,0
545,67,68,1,0
546,24,27,3,0
547,100,98,2,0
548,21,21,0,0
549,182,187,5,0
550,20,19,1,0
551,17,17,0,0
707,12,12,0,0
708,44,38,6,0
709,235,103,132,0
710,29,27,2,0
711,62,17,45,0
712,18,18,0,0
713,85,57,28,0
762,53,41,12,0
763,12,12,0,0
764,69,62,7,0
765,111,94,17,0
766,93,94,1,0
767,17,16,1,0
768,20,18,2,0
769,18,16,2,0
770,24,16,8,0
771,14,13,1,0
772,136,124,12,0
773,207,209,2,0
774,22,26,4,0
780,49,58,9,0
781,3701,667,3034,0
782,61,26,35,0
791,63,61,2,0
792,184,172,12,0
793,162,157,5,0
794,99,97,2,0
795,409,389,20,0
796,60,58,2,0
797,59,59,0,0
798,70,63,7,0
799,67,49,18,0
800,207,188,19,0
801,50,38,12,0
802,110,103,7,0
803,25,11,14,0
817,12,11,1,0
818,11,14,3,0
819,54,59,5,0
820,11,14,3,0
821,16,12,4,0
822,12,13,1,0
823,10,9,1,0
824,11,11,0,0
825,17,15,2,0
918,226,368,142,0
919,140,259,119,0
920,108,140,32,0
921,42,84,42,0
922,198,343,145,0
923,15,26,11,0
924,79,145,66,0
925,69,71,2,0
926,49,108,59,0
927,18,25,7,0
928,25,16,9,0
929,24,31,7,0
930,104,115,11,0
931,68,123,55,0
932,14,27,13,0
933,36,52,16,0
934,44,61,17,0
935,60,96,36,0
936,16,24,8,0
937,23,24,1,0
938,19,13,6,0
939,79,101,22,0
940,29,51,22,0
941,31,51,20,0
942,12,15,3,0
943,20,14,6,0
944,28,43,15,0
945,27,41,14,0
946,134,154,20,0
947,198,347,149,0
948,81,61,20,0
949,32,29,3,0
950,88,156,68,0
951,81,63,18,0
952,90,104,14,0
953,27,26,1,0
954,22,29,7,0
955,20,12,8,0
956,30,33,3,0
957,43,27,16,0
958,79,124,45,0
959,15,22,7,0
960,8,8,0,0
961,47,89,42,0
962,63,113,50,0
1033,29,31,2,0
1034,61,57,4,0
1035,21,21,0,0
1036,11,11,0,0
1037,35,37,2,0
1038,9,7,2,0
1039,14,14,0,0
1040,23,25,2,0
1041,37,41,4,0
1042,9,9,0,0
1043,11,11,0,0
1044,22,22,0,0
1045,12,11,1,0
1046,18,15,3,0
1047,68,70,2,0
1048,116,107,9,0
1049,621,645,24,0
1050,34,27,7,0
1051,13,13,0,0
1052,23,22,1,0
1053,24,22,2,0
1054,119,83,36,0
1055,175,178,3,0
1056,147,148,1,0
1057,20,19,1,0
1058,86,91,5,0
1059,169,181,12,0
1060,41,42,1,0
1061,91,106,15,0
1062,73,56,17,0
1063,27,27,0,0
1064,10,10,0,0
1065,16,16,0,0
1066,223,217,6,0
1067,12,13,1,0
1068,39,42,3,0
1069,33,38,5,0
1070,8,5,3,0
1071,23,24,1,0
1072,42,46,4,0
1073,24,24,0,0
1074,32,33,1,0
1075,38,40,2,0
1076,13,13,0,0
1077,90,90,0,0
